n;Bubble Sort;Merge Sort;Busca Sequencial;Busca Binaria
265;498122;76633;371;140
266;500177;77705;350;70
267;455573;77746;361;170
268;488024;78026;381;50
269;498393;77966;351;130
270;483204;78557;371;60
271;512370;78767;370;150
272;483535;90890;361;60
273;508482;78838;361;161
274;516858;81132;381;60
275;480901;79509;361;171
276;533599;81392;411;70
277;502130;80450;381;141
278;500417;80200;351;50
279;514763;80821;341;120
280;526525;80511;361;40
281;521366;92183;360;141
282;507310;81633;361;60
283;511537;82544;371;141
284;518070;82445;370;40
285;529591;82995;350;160
286;515215;86622;361;50
287;546944;83076;371;150
288;540912;83706;381;60
289;544128;87824;361;121
290;556993;83927;351;40
291;541524;84769;361;140
292;534881;84929;371;40
293;536254;84869;351;141
294;547415;85450;371;40
295;567312;85500;400;170
296;567743;108573;401;70
297;595825;86742;391;131
298;562082;86973;371;50
299;551702;87233;391;131
300;571319;87393;381;50
301;596847;88696;380;150
302;594603;88346;411;61
303;592269;88706;391;110
304;620802;89718;400;60
305;628788;89448;391;160
306;605814;89768;381;60
307;613689;90089;371;140
308;638085;89999;401;40
309;634207;93345;461;190
310;623707;118662;631;70
311;791061;91701;431;200
312;606395;89768;431;60
313;646370;90760;411;161
314;674964;91461;431;50
315;645749;91081;431;140
316;681045;91532;421;60
317;657451;92352;410;150
318;720118;92684;441;60
319;677518;92864;420;160
320;677639;92623;411;51
321;661950;92914;391;170
322;696304;93215;391;40
323;671467;93555;420;120
324;675535;93936;421;50
325;688619;95229;431;120
326;853297;103403;481;80
327;740166;96811;430;190
328;716952;97433;441;60
329;709428;96581;400;170
330;934319;122279;581;80
331;747950;97352;451;170
332;992739;143008;461;70
333;870099;135654;861;221
334;873265;101299;461;90
335;744985;107111;431;170
336;734846;99005;411;51
337;742771;98996;421;171
338;754612;98985;421;60
339;739325;99246;411;121
340;744754;99206;420;50
341;773939;102642;471;191
342;773118;102482;481;60
343;768899;100688;431;151
344;775832;101791;430;50
345;822309;101890;451;160
346;788686;102322;471;60
347;819364;102522;451;151
348;752689;101600;430;60
349;773137;103143;431;150
350;859018;104115;451;50
351;846454;139652;682;190
352;1090732;103603;440;60
353;840554;105858;451;171
354;937626;108514;501;71
355;839081;105207;481;190
356;908340;133730;621;100
357;977630;124894;571;200
358;1119807;146494;912;80
359;1013707;106720;491;170
360;864549;108433;481;60
361;947414;136075;621;210
362;868395;106910;470;60
363;868556;106740;460;120
364;828681;107571;451;50
365;848127;107020;440;120
366;872673;127228;451;60
367;1104989;111269;501;181
368;880359;108193;481;60
369;873996;141335;471;181
370;882442;110247;490;50
371;888012;110046;461;141
372;1067098;140083;651;80
373;1048663;113192;481;181
374;950790;111589;471;60
375;1003760;112581;501;160
376;950850;137267;481;50
377;946221;112430;461;151
378;925173;112942;470;60
379;978572;116819;531;180
380;952333;113813;481;60
381;961470;112991;490;180
382;921015;113683;471;50
383;938797;113422;451;120
384;1104768;116809;531;60
385;979404;115086;490;160
386;940130;115135;501;60
387;1089820;130775;511;171
388;1038785;118372;521;70
389;988842;136816;511;190
390;980225;115938;491;81
391;987418;115877;511;150
392;995674;117951;491;40
393;984493;116768;501;150
394;958704;118051;471;40
395;1000944;118482;471;150
396;1324099;171521;901;80
397;1293251;132698;541;190
398;1022113;119273;501;60
399;1015290;119413;511;150
400;1025300;119023;511;50
401;1020210;131346;491;130
402;1057420;120145;511;50
403;1048492;121477;491;131
404;1100820;121618;501;50
405;1071526;132979;501;150
406;1072698;122099;501;50
407;1107113;122589;501;161
408;1123444;122800;521;60
409;1060025;124012;521;150
410;1075433;122880;511;60
411;1125827;123902;511;160
412;1118905;136265;511;70
413;1141767;124764;521;141
414;1126378;125505;511;40
415;1116730;135403;521;130
416;1164179;124493;521;50
417;1128893;126226;511;150
418;1175791;137788;511;50
419;1143050;126587;500;140
420;1106943;126788;521;51
421;1167325;143138;511;131
422;1144042;127639;511;61
423;1161785;127729;541;151
424;1135817;140193;531;60
425;1201169;128490;511;150
426;1244710;130234;561;70
427;1165452;131737;531;170
428;1273905;131025;541;61
429;1202191;131917;521;151
430;1204024;132077;541;50
431;1200358;137928;511;150
432;1197852;131476;521;60
433;1247655;132528;541;151
434;1251263;132428;561;60
435;1230945;131937;531;130
436;1226997;132007;531;60
437;1269356;131967;541;131
438;1221547;139021;541;50
439;1228219;133339;541;160
440;1274236;134572;541;51
441;1276280;138790;541;131
442;1289073;133660;531;50
443;1343685;137537;591;160
444;1298952;135554;981;70
445;1303240;136075;571;130
446;1305334;141965;551;60
447;1282862;134932;551;151
448;1288662;134962;551;60
449;1292630;136756;551;130
450;1313850;143699;561;70
451;1314300;137497;551;150
452;1333467;142908;932;60
453;1341231;138059;561;150
454;1372911;138450;561;60
455;1363393;138840;571;151
456;1344136;138759;551;50
457;1380284;139051;561;150
458;1326733;139351;552;60
459;1394430;147145;561;151
460;1380735;140714;551;50
461;1395051;152806;572;160
462;1389041;141264;561;50
463;1369965;142056;561;130
464;1437371;200446;801;100
465;1551014;144230;601;160
466;1450837;142116;601;60
467;1426530;142417;571;140
468;1402877;142086;601;50
469;1460264;154259;591;151
470;1422793;144320;581;60
471;1443272;154790;581;170
472;1472337;145733;581;60
473;1478658;145923;571;130
474;2025312;147787;621;71
475;1534343;145713;621;191
476;1416051;145092;601;60
477;1486573;145732;591;131
478;1463269;145773;581;50
479;1435878;145843;581;150
480;1448312;145432;591;70
481;1522050;198772;902;181
482;1737382;150061;591;61
483;1610705;149730;611;151
484;1498786;148478;601;50
485;1499808;148388;571;130
486;1551083;155020;581;50
487;1572504;149800;591;170
488;1578806;186840;601;50
489;1483658;148478;581;150
490;1571532;150301;581;50
491;1521880;150381;591;110
492;1537408;151073;591;50
493;1583655;151403;591;130
494;1675547;153437;631;60
495;1578626;153527;591;151
496;1620704;154359;621;60
497;1604254;154199;592;100
498;1599966;154179;601;40
499;1591500;215714;1173;201
500;1602671;154740;621;71
501;1627887;154389;622;160
502;1632957;152796;621;50
503;1587482;154479;601;120
504;1622327;153767;622;50
505;1741099;155831;662;170
506;1666519;156704;601;61
507;1718006;156653;621;161
