n;Bubble Sort;Merge Sort;Busca Sequencial;Busca Binaria
500;1760;208;1;0
1000;8790;434;2;0
1500;15616;551;0;0
2000;26965;839;2;0
2500;40169;935;2;0
3000;60081;1273;3;0
3500;79829;1352;10;0
4000;104501;2243;22;0
4500;135262;1789;3;0
5000;165536;2203;18;0
5500;202497;2218;18;0
6000;238843;2455;15;0
6500;284351;2681;3;0
7000;332202;2888;13;0
7500;371818;3083;12;0
8000;429034;3310;9;0
8500;486390;3524;26;0
9000;552080;3780;22;0
9500;605327;4015;14;0
10000;678125;4251;12;0
10500;743001;4437;20;0
11000;843817;4721;30;0
11500;919181;4943;32;0
12000;985228;5203;6;0
12500;1073767;5435;39;0
13000;1165061;5634;17;0
13500;1245210;5826;40;0
14000;1345301;6064;38;0
14500;1449870;6558;18;0
15000;1559332;6518;38;0
15500;1647859;6747;15;0
16000;1786147;6978;17;0
16500;1892946;7168;22;0
17000;2012583;7478;7;0
17500;2136359;7655;5;0
18000;2267847;7917;59;0
18500;2395202;8212;4;0
19000;2518272;8527;24;0
19500;2668151;8615;54;0
20000;2796002;8958;4;0
20500;2980966;9248;31;0
21000;3081179;9399;24;0
21500;3279418;9650;10;0
22000;3398439;9896;54;0
22500;3610537;10091;63;0
23000;3778015;10320;20;0
23500;3918000;10801;25;0
24000;4115922;10956;38;0
24500;4223583;10973;21;0
25000;4396472;11285;12;0
25500;4646791;12063;35;0
26000;4771350;11818;12;0
26500;4998386;12185;48;0
27000;5174779;12241;63;0
27500;5381449;12478;41;0
28000;5616900;12787;29;0
28500;5753812;13541;19;0
29000;5964531;13269;93;0
29500;6200593;13375;95;0
30000;6402755;13601;18;0
30500;6648267;14242;99;0
31000;6869305;14154;49;0
31500;7111930;14313;73;0
32000;7319671;14552;62;0
32500;7593688;14964;34;0
33000;7783673;15049;57;0
33500;8112582;15332;20;0
34000;8319753;15846;44;0
34500;8545375;16022;67;0
35000;8787151;16195;35;0
35500;8979237;16482;48;0
36000;9270081;16558;23;0
36500;9656101;16860;113;0
37000;9949635;16890;12;0
37500;10107375;17316;93;0
38000;10343731;17708;90;0
38500;10722921;17994;68;0
39000;11033562;18264;70;0
39500;11253167;18856;52;0
40000;11701584;18666;50;0
40500;11922995;19166;107;0
41000;12058274;19181;126;0
41500;12693204;19788;57;0
42000;12995333;19964;12;0
42500;13227312;20137;6;0
43000;13446916;20127;149;0
43500;13745338;21172;120;0
44000;13996474;20648;48;0
44500;14491178;21006;42;0
45000;14755177;21134;105;0
45500;14959890;21354;76;0
46000;15269268;21797;88;0
46500;15684807;21948;67;1
47000;16131969;22207;137;0
47500;16301866;22650;7;0
48000;16638245;22800;33;0
48500;17104090;23256;140;0
49000;17585428;23648;181;0
49500;17700407;23249;154;0
50000;18086924;24205;67;0
