n;Bubble Sort;Merge Sort;Busca Sequencial;Busca Binaria
0;161;822;61;60
500;2271210;204443;932;80
1000;7898445;336481;1313;60
1500;15017060;539081;1914;61
2000;28360700;721764;2274;71
2500;41551656;923432;2875;90
3000;60416943;1174463;3427;80
3500;80893143;1328191;4077;60
4000;106092405;1512798;4469;70
4500;133793257;1736258;5040;70
5000;166710685;1976097;5590;60
5500;200176071;2161144;6212;80
6000;240168970;2400333;6953;80
6500;286592574;2597212;7193;70
7000;333452736;2877738;7805;80
7500;383361486;2991031;8456;70
8000;438971713;3299038;8977;80
8500;502633591;3417020;9397;70
9000;552908888;3696303;10189;70
9500;637757328;3931604;10379;80
10000;693660241;4251475;11281;80
10500;765954058;4345993;11682;80
11000;827410215;4576314;12103;70
11500;898181165;4717429;12643;90
12000;981358436;4910361;13084;60
12500;1058234747;5163385;14086;60
13000;1150599590;5356739;14327;80
13500;1246872400;5598522;14998;80
14000;1382274598;6378254;15900;91
14500;1484345441;6159644;16752;80
15000;1565230964;6414442;16631;80
15500;1715524386;6645886;17112;80
16000;1786451102;6754339;17733;70
16500;1905965717;7102352;18214;70
17000;2069843589;7230092;18745;91
17500;2228052385;8222323;19316;80
18000;2277225456;7670488;19797;81
18500;2400071383;7980468;20569;70
19000;2545932897;8365612;21009;80
19500;2666903938;8420414;21320;71
20000;2831046359;9085362;22342;80
20500;2991971883;8988470;36839;111
21000;3135214470;9423255;23244;70
21500;3269712882;9663946;23744;80
22000;3404031272;9485832;24085;80
22500;3596724781;9856236;24706;81
23000;3824519026;9990026;25748;80
23500;3956545352;10225347;25819;80
24000;4125132472;10550999;26580;80
24500;4255931721;10659482;26800;70
25000;4434868055;10976076;27922;70
25500;4617842192;11271810;28273;80
26000;4789923148;11719129;29095;70
26500;5065297845;11777889;29305;90
27000;5187905415;11862127;29455;80
27500;5501396729;12266965;30226;81
28000;5580497456;12558382;35246;91
28500;5764122535;12578318;31309;80
29000;5948024613;12760500;31870;80
29500;6243431451;13206416;32561;81
30000;6438145247;13263011;32792;70
30500;6704267757;13682778;33763;80
31000;7048547829;13737931;33924;71
31500;7254897751;14123114;34765;70
32000;7480410633;14414721;35126;80
32500;7728266005;14840348;36428;90
33000;7977728952;14616738;35797;91
33500;8153669422;15071691;37189;80
34000;8650161166;16233628;66906;150
34500;8748299483;15755190;37931;100
35000;9070998191;16235011;38543;91
35500;9319442372;16611926;48972;110
36000;9553668226;16771825;40075;80
36500;9798152128;16879646;40336;80
37000;10020040055;17311266;40566;90
37500;10410839359;17692469;42490;110
38000;10770028276;18014283;42229;90
38500;11102520369;19118341;42309;80
39000;11383494823;18110362;42881;110
39500;11689572408;19136274;44032;100
40000;11936947936;19061514;43983;100
40500;12236004432;18929917;45035;100
41000;12503436042;19486850;52228;130
41500;12840622798;19968121;46287;101
42000;13071220305;19479215;47098;111
